"comments","target"
"I'm 43 years old. You make this easy! Thank you!
I'm getting over a divorce and this is keeping me engaged and leveling up!",p
"Excellent tutorial! Very well explained and no extra talk, just what is needed.

Thanks!",p
"I’ve been in college studying computer science for three years and I’ve already seen your Python, C, PHP, and HTML tutorials but here I am watching this just because it’s really fun",p
"ive watched the first hour of this tutorial and its so good, even in 2022 it still holds up, he is the first guy i found and he is good, i wanted to do python but i realised c++ would be more useful for game development, the other guy was faster than him but this guy has a certain charm, he is the best guy teaching programming on youtube",s
My name isn't George but I am 70 and loving it!! Been programming for many years in Basic in all of its forms but never tried C++. Thanks for the lesson..... it's brilliant,p
"wow 17 minutes in and Im hooked, this is an excellent tutorial thank you for providing the opportunity to learn this language you explain the processes really well, thanks again :)",p
When he covers more in 4 hours than your school does in a whole semester 😔,o
"Very helpful! Thanks for the tutorials, keep it up!",p
"This tutorial is awesome!! But i thought i should mention that in Visual Studio developed by Microsoft, ""string"" is used differently. One has to actually type #include <string> at the top in order to be able to use that sort of data (one can also use ""const char*""). I spent an hour yesterday trying to figure it out. I am someone who just started programming and i really enjoy it ; regardless I am still just a beginner of no programming background. I may not know much but I'm just trying to share my findings so that others like me can also find their way. Thank you for the awesome tutorial!!",s
"Great tutorial! Its hard to find someone who explains the basics as well as touching on more commonly used variables. Also, thank you for leaving in your mistakes. It helps knowing that experienced programmers still miss common mistakes.",p
Thank you for making it easy to understand... Excellent presentation!,p
learning more in 4 hours in C++ than 1 year of python at my college. such a good video!,p
"All that this course needed to reach perfection was to have a section dedicated for Terminologies & some additional quizzes. 
Maybe a part two can be that.",s
"this is amazing, such a clear and well structured course.
this guy is an excellent teacher, plus seems like a very nice dude",p
"Why am I even going to college...

 he just coverd my 12 weeks semester in 4 hours..

Bruh...",o
"If getline does not work, try adding #include <string>. Love the video man",s
Thank you so much for such an amazing session sir.,p
im 9th grade and im self taught C++ this guy just teach me more than my teacher in 4 hours,p
"I can't believe this is free with no ads, thank you so much. Keep it up!!!",p
"Dude, my entire module done and dusted thanks to you 4 hours of pure gold.",p
this dude literally taught me in 4 hours what I learnt in 2 years at school,o
I have an exams tomorrow and I’m trynna learn C++ in 4 hours ...thanks btw 😚,p
"can't thank mike enough
he has  taught me all the basics of python and c++
THANK YOU <3",p
"This man got his own way of teaching, specifying the need and using the  application he just don't rush out like teachers do. 
👍 Hope you learn in peace and understand.",s
This 4 hours is totaly worthy and better than my whole semesters course.😇,s
WOWW!!! Thank you so much Mike!!! This course is helping me in my C++ Class and helping me pass this course!!! I Thank God for You and Your knowledge that you are sharing with the world!!! Thank you so much!! I needed this!!!,p
Who’s learning this while in home during coronavirus,q
This guy is a legend. Love it bro. Thanks for teaching us,p
"2:10:51 while loop
2:17:30 do while loop
2:18:55 building a guessing game (practice if & while)
2:29:19 for loop
2:39:35 exponent function (practice for loop)
2:45:22 2D array and nested loops
2:54:55 comments (//......   /*......*/)
2:59:12 pointers
3:13:27 classes & objects
3:25:42 constructor functions (useful when init objects)
3:34:41 object functions
3:41:45 getters and setters (useful object functions)
3:54:07 inheritance (super)",o
"Good stuff, two weeks ago I came here to learn about SQL so wouldn't be completely clueless about it on a work test and now I'm here to remember what I'd already learned about C++ years ago. Doing god's work, man.",p
"Day_0 = 51:32
Day_1 = Completed. Looks like after learning C#. C++ can get a lot easier.
EDIT: I take my point back",o
Mike you have a way of making complex things turn out to be very easy and interesting for a beginner like me. This is my second video to watch from you.  Suddenly C++ looks so easy. Thanks!!,p
"I learned python with this man, starting the pandemy, thank you!",p
"I'd like to add something in the ""Getting User input"" part I noticed he didn't mention needing ""#include <string>"" everything else upon that was all correct but you will need to include that to use ""getline()"", that's my input on that part. Overall though amazing video and I think it will help a lot of beginners get started with C++ and get into the advanced portion of the language, you did a great job explaining it and making it easy to understand for the new people. Have and amazing day, and you got a like from me :)",s
"I learned in 4 hours more than I learned in 2 whole years of High School, you're my hero",p
This video taught me more than a whole semester in computer science in the  same duration of a single class.,p
"EXCELLENT COURSE!!!  You are an outstanding teacher and a very smart guy.  Thank you for taking the time to help us with this!  I liked, subscribed and am going to spread the word on your way cool content!  🙂",p
"Nice tutorial, I understood everything even though C++ is my first programming language.",p
I'm still in high school but I'm teaching myself this to put myself a step ahead of the system. It's always great to be prepared,s
"Nice tutorial, very easy to follow. Thank you!",p
When you start thinking that its not that difficult but then realize that its a BEGGINER'S course.,s
Watched this course for 2 days and aced my interview on the 3rd!,p
"Thanks for doing this man! I got a pretty major head start in December of last year on my first CSC class thanks to your Python tutorial and I just wrapped up watching this, working alongside you, and taking notes in preparation for learning C++ in my second CSC class.",p
"Mike actually restored my interest in programming at uni, the best IT teacher I've come across on YT so far. Million thanks to this channel and Mike",p
Love this video💙 it does help me a lot as a beginner,p
Thank you for the instruction. It helps a lot.,p
and all of a sudden a whole semester of computer programming started making sense,p
You know it gets real when he starts explaining what an IDE is 👍,o
"Roses are red
Violets are blue
Undefined “x”
On line 32",s
Just finished the course! I just want to say thank you I learned a lot!,p
"I appreciate you guys putting this stuff out there for free. 

Thank you",p
I finnally finished this and this course is super easy and mike sir explained it in simple language i love this course ♥️♥️♥️♥️♥️ Thanks mike sir and freecode camp team to providing a paid and good course in free ..... keep it up my best wishes are always with you,p
"When getting user input and using the getline(), you must #include <string>",s
Even if you already know C++ this is a pretty great place to find examples for all the basic syntax if you've been working with a lot of other languages lately.,s
"Why am I even going to college...

 
 
 he just covered my 12 weeks semester in 4 hours...


 
 
Bruh...",p
Great video for revising coding concepts. Good Job (Y),s
"I think you are a great teacher on Youtube.
I've learned all of Variables and drawing a Shape after you taught all the other people including me.
So here's my code.

Variables:  #include <iostream>
 
using namespace std;
 
int main()
{
    string characterName = ""Emily"";
    int characterAge;
    characterAge = 33;
    cout << ""This story is about "" << characterName << "" goes to Europe "" << endl;
    cout << """" << characterName << "" is at Germany ""  << endl;
 
    characterName = ""Ben"";
    cout << ""She's at Berlin and saw a man named "" << characterName << "" "" << endl;
    cout << ""But she liked the named "" << characterName << "" "" << endl;
 
 
 
    return 0;
So see what you think of my programming.",q
If you're getting an error from getline() then put #include <string> in the top of the script,s
Thanks for making these videos. I have learned a lot of things from you and I have watched this video a few times and I am starting to understand it BIG THANK YOU.,p
"Just started out, excited to be able to write this improved version :D

int main()
{
    int attempts = 3;
    int secrNum = 7;
    int guess = 0;

    while (attempts > 0 && secrNum != guess)
    {
        cout << ""Guess a number between 1 and 10. You have 3 tries! "";
        cin >> guess;
        attempts--; 
        cout << ""Number of attempts left: "" << attempts << endl; 
    };
 
    if (guess == secrNum)
    {
        cout << ""You Win!\n"";
    }
    else if (attempts == 0)
    {
        cout << ""You Lose!\n"";
    };
 
    return 0; 
}",s
"I have watched all 4 hours of this course and it is awesome. To anyone asking themselves is it worth investing the time into this, the answer is YES.
These basics are not only C++ basics, but all these concepts are almost identical or very similar to some other programming languages.
I've learned it the hard way, by sitting here for 4 hours and watching this course to find out I had all these concepts already down from Java (which took me far more than 4 hours to understand, by just reading code and trying to figure it out on my own).


This was really beneficial tho to strengthen these concepts and really make them mine.",s
Thanks man. I knew nothing about C++ until now,p
Amazing video! Helped out so much more then using a websites instruction.,p
"Just finished it, awesome introduction, commenting for the algorithm. Thanks, this was super useful!",p
"Ima watch this in multiple sessions, this is gold thank you!",p
This REALLY helped me to code C++! Thank you! :D,p
They didn’t lie when they said when you know one language the others are easier,s
"Bro i missed so much in my class and i didint know anything about coding, but now, with your help i finally understand coding, thank you",p
"If you already into programming and know most of the C syntax.. skip to last hour of this video
3:13:27 classes & objects
3:25:42 constructor functions (useful when init objects)
3:34:41 object functions
3:41:45 getters and setters (useful object functions)
3:54:07 inheritance (super)",s
Another great course!  Thanks!,p
Wow thanks a lot! Finally finished the tutorial and now I'm ready to rewatch it. 😄😆,p
THANK YOU SO MUCH! YOU HAVE NO IDEA HOW MUCH THIS HAS SAVED ME,p
"Does anyone have any recommendations on what course to take after this? Like, should I take an advanced course, or a OOP course or look for coding challenges?",q
"I appreciate the time stamps so much, it's easier to review specific topics because of it, thank you!",p
"Me watching at 8x speed: ""I MUST LEARN FASTER""",o
"Awesome tutorial,  thank you very much.",p
It was the most valuable 4 hours since I started to use computer. Thanks!!,p
"The C++ course is my third  studying course from Mike, many thanks.",p
"thanks man, you tought me more than my all computer classes in  school and college",p
this guy literally explained in 4 hours what the teacher failed to explain in a whole year in my engineering school .my country is a failure lol,p
"Video: ends
Me: stares at the black screen for 10 seconds So... What do I do now?",
The experienced person have come across in YouTube tutorials ever. Thanks Mike,p
"Thank you, it was extremely helpful. 👌",p
A fantastic brief video of C++ for beginners. Thanks!,p
"Only an hour in and have to say, .... 
"" THANK YOU! "" great tutorial!",p
Good explanation of the basics. I can understand all not even having English as my first language,p
"Stop going thru comments, continue the tutorial.",s
"When you're paying thousands of dollars to learn C++ and still don't get it, but a 4 hour video with no advertisements does a better job.",p
"To everyone starting this,
Good Luck",o
"2:22:30 guess would not be initialized and that would not work since you did not know the value of the guess variable before making the loop, you would need to make guess = 0 in the beginning or make the loop a do loop",s
"I love how you used the analogy of a recipe. thank you. I'm writing the recipe, the computer is the cook? or the restaurant? Edit: I also Like how you repeatedly remind us the program is a set of instructions. I can't tell you how many times I forget basic, trivial terminology and the definitions behind them. There're so many words! haha. (Might be more edits)",p
2:13:20 It shows incrementing in index++. I know that ++index is also a thing. What does ++index do and how is it different?,q
"sir , thank you soo much i just understood all stuffs about c++ in this course .. once again thank you sir....",p
Whenever you can help it you should never have more than one return statement within a routine otherwise program flow or debugging may become more difficult to follow in larger routines.,s
How can anybody dislike this?,p
amazing tutorial...feeling so good after these 4 hrs.,p
"You make everything so easy bro
Keep up the good work!",p
"Thanks for tutorial) 
After learning Java , its getting really easy to understand everything",p
Excellent video and well explained. Thank you.,p
I don't know why but I really like the way this man explain things....he looks so relaxed,p
"Hey man, This was a great video. I knew nothing about C++ yesterday and today I have made a quiz game that works perfectly. This was a very helpful video.",p
"I had learned C++  back in 2015 n there after nvr practiced it & hence Forgot everything, finished this video within 2.5 hours n grasp every concept easily. So Big thanks to u buddy to help me refresh everything.",p
Thank you for this tutorial. Mike is my favourite teacher,p
"Just Completed the 4hrs of video efficiently.....I think i got the maximum things out of this. Thanks a lot man for the amazing, short and crisp video on C++.🙂🙂",p
"As a retired person with too much idle time on my hands, I have been watching / learning from this video.  Great stuff !  However, I was really hoping you would give an example of how to generate random numbers.  I am a math / physics guy and in what I am trying to do I need to generate random numbers.",s
Thanks man! This is the #best all in one C++ tutorial available in YouTube.,p
"This is one of the best tutorials I've ever watched. 
Been watching for 3 hours now, and I'm still very interested. You are a brilliant teacher!",p
"Here's some basic things you might wanna know:

To print ANY text you will need to use cout << ""TEXT HERE"" << endl;

The Data Types are:

string (Just to store some plain text)
char (Only used to store ONE Character)
int (Can only store whole numbers)
double (Can store more numbers than int AND can also be used for precise numbers like a decimal)
float (Can be used to make decimals)
bool (Bascially it's true or false, this isn't important if you haven't learned about if and else statements yet.)",s
Thanks a lot!! Please do an intermediate level and then an advanced level for C++.,s
currently trying to learn c++ over my spring break for fun before delving back into python and VBA. This is great for me,o
"I'm going to start an internship in November, I know this tutorial is gonna help me a lot with C++, the only requirement for the open position is to have good knowledge in C++,  do u think I'm gonna get it? I mean I'm an Electrical Engineer",q
Does anybody know where I can find some exercises to practice this? Also is there a good intermediate course around?,q
havent watched the whole vid but so far its such a great tutorial im just a 14 y/o who cant code but rly want to learn it for no reaseon and this video has alrdy tought me a lot,o
"I wanted to get a head start for my C++ course so I went through this video following along during 2 day, 2 hours per day. I just opened my course literature book and he covered almost everything of it lmao xD",p
"Imagine him recording for 4 hours.....






And then realizing his cam was off. That would be tragic for such an incredible tutorial!!!! Thanks you!",p
"i legit passed my C exams with 60% with Mikes ""Learn C in 4 hours "" video lol
so now here i am for C++ as well",o
"Ive learned C and now im trying to get into C++, its gonna be easier to learn since I know C so im hella excited. After learning C++ im gonna continue learning python from where i left off.",o
"I'am a first year BSCS student, and I want to learn some of the basics of the C++ in advance....thanks to Giraffe Academy. 
Watching here from Philippines.",p
"Hello, I just started this and new to programming (new to c++) can I do this with Visual Studio without any problems? Because I'm learning c++ for the Unreal Engine game engine",q
Statement at 1:40:20 really defines the whole world 🙂,o
When quarantine hits you so hard that you become a programmer 🤣🤣🤣,o
"This video is awesome right on time, I needed this amazing!",p
"3:36:26 Jim is a business major, Pam is an art major… I see what you did there",o
Finally after 1 year of procrastinating I've finished this video,o
"Just started learning how to code, seeing comments on how easy python is to c++ so im gonna learn the hard stuff first so the other stuff will seem easier in comparison.",o
"Thanks For The Course, Even Tho The Course Was Of 4 Hours I Watched It 2 Times Tryed All The Codes He Did And Watched It Again If I Had A Problem (:",p
"You should mention that ""using namespace std;"" is really only acceptable for very small programs. You should not use it if your program will do non-trivial work, as you will likely get naming collision of your functions with the standard library. Instead, always prefix standard library functions or types with std::
(Trust me, it's not that hard to get used to and you'll avoid a ton of bugs)

For, say, print-heavy functions, you could prefix the code inside a function with ""using std::cout; using std::endl;"" to then not have to write std::cout and std::endl all the time (instead only writing cout and endl)

And finally, don't overuse std::endl. Most of the time all you want is to add a \n. This is because std::endl flushes the output, which is slower than just writing a newline character to the stream (my benchmark for instance yielded 100% speed improvement using \n over std::endl)",s
Dude I dont know if you know but this tutorial is one of THE CLEANEST CONCISE on youtube. The way you get to the point and explain well in brief manner makes learning C++ seem intuitive. I know this is just the surface but it is presented in a way that makes it feel breezy and effortless,p
"I like it when he says ""Hopefully""  before running every program.",o
I learn a lot of things that i did not learn in my whole semester thanks.,p
"I could still remember the time back then when I was unable to understand how ""for loops"" work. Now I'm creating Sub-Classes so efficiently and reading them like a book! Your teaching skills are amazing!",p
me a 8th grader planning on becoming programmer: interesting,p
"thanks for sharing your knowledge, its pretty useful for me !  great work man carry on !!!",p
freeCodeCamp has been so much more in-depth than my instructors. You guys provide such good material. I've used your videos for almost every language Im learning and retained a heck of a lot more than just from reading!,p
"So far im on 1:47:15
This tutorial is great!",p
Funny how a youtube search can teach me more information much faster than uni does completely for free.,p
"Thanks for this amazing C++ tutorial.
hope to have full video subtitles.",s
"Hey, I have a question. How do I exactly use bool in code? I know it is true or false but how do I apply it? Can you show me an example? I’m still confused.",q
the first half hour helped me out a lot looking forward to the last 3.45 hours,o
"2:10:40 no they included it because it’s faster and more efficient because you can just use a look up table instead of checking each value…
But great video!",s
"Finally finished it. Dunno what I'll be able to use it for, but now I have a new skill so it's cool. Basic as it may be, it's always something.",o
Done 2 months of learning this🌝Thank you Mike!,p
Wow thank you!!! I've learned a lot from you!!!,p
"2:22:42 i did my homework before Mike told me to. I didnt use do/while loop, but i made the program tell you if you guessed too high or too low and also tell you how many tries it took you to guess the number. 
I love this course",o
"This guy is awsome I've watched many tutorials but couldn't watch it till the end, until i found him
kudos to Mike!",p
"I've been trying to learn C++ on and off for about 5-6 years now. By far after watching this whole video, I learned more about coding from this guy in 1 video, than all 3 years of my professors trying to teach me LOL. Thanks!",p
This is a good tutorial for anyone who is interested in Unreal Engine.,s
"thanks and appreciations to you sir, for your comprehensive turorials.",p
"Your literally the best teacher ever, thanks so much for all your help, definitely a thumbs up!!!",p
"thank you, I really enjoyed it, your explanation is awesome.",p
"This guy actually puts in a lot of effort in his tutorials as far as i can infer. I noticed that whenever he accidentally said something wrong for example he said age instead of name, he'll put the correct word in the background, meaning that he actually gone through the entire video again before publishing to check for errors.",p
"I really like the way you teach but I have to say, the best part was seeing you use the LOST numbers as luckyNums 😊",p
It really helpful for the beginners and also your was of teaching is clear and easy understanding.. complete course in 4hrs.. very good video..,s
"Completed your c course
Like it .... It was good


Now starting c++",p
"I am become addicted to this instrutor classes, everything is so clear and concise! Keep them coming!!",p
"I learned Python from your 4 hour crash course, now I'm learning C++ cuz I'm planning to study CS in college. Tysm",o
"Very competent guy. -Well structured to the point.
As a critical person, all I can say is:
this is good ;)",p
"1:28:16  1 Don't mind me! just placing this time stamp so i can go on it later on
2:02:56 2 doing really good right now!
2:29:37 3 was a bit busy so i only did half a hour but im still doing good!",o
Wonderful thanks a lot sir❤️❤️,p
tutorial from Dude is always awesome. You are my favourite teacher.,p
Genius spotted. I attended my 1st day as IT student and my prof was having a hard time to explain on the fundamentals of Programming. But this man just give a free knowledge and he's good on explaining. Jeez thanks Bro,p
Life saver!  Uni's may as well show this concise tutorial rather than showing hundreds of hours of lectures and explanations to literally explain what you accomplished only in a few hours.,p
Precise and concise. Thanks a ton.,p
Finally I was finished in this video full. It has taken a one week.,o
Thanks for doing the work my professor can’t do,p
"Hy. I am 18 years old. I have been struggling with OOP and couldn't understand the concept for the past 4 years, until I watched this gentleman's video and understood what OOP is all about! I still can't believe this video changed my understanding. Many thanks from me, from Kenya❣️",
"This is such a helpful video , 30 minutes In and I already learned the few basics which I struggle understanding from others , I am grateful!!",p
"Hi, Great video I am working on a project with my son. We are trying to merge a string of text and a variable similar to the way a mail merge works in a word processor. Any help is appreciated. Here is an example below of what I am describing:

Dear, (patientName)
Your appointment is scheduled for (appointmentDate)
Sincerely, Dr. Dre",q
"One of the best C++ tutorials!!! I’m taking a Computer Science class, where we use C++ to make programs. This really helps. Thank you soo much!! Keep it up!!",p
I wish you were my lecturer bro I went a whole semester understanding nothing and this video has taught me more in a couple hours than the teacher in a semester,p
"If only freecodecamp was there when I was in school starting off with c++ on my own. My school computer teachers were namesake Teachers. But any who, that taught me that I should learn on my own, and I did. 😊",p
JUST love your teaching I wish you were my real teacher you made cpp easy for me thx,p
i just finished the course after one week of watching and practice thank you sooo much,p
"So useful, Keep the good work up!",p
"How many programming languages do you know?


Mike Dane - Yes",o
"Finally completed 

Thx sir 🙏😁❤",p
Bro I actually had a lot of help in real seeing this video...thanks bro 🔥🤜,p
This is so awesome. I always wanna be a game designer and I figure c++ would help me. Thx a lot :),p
U r genius and u taught me language thank u so much and I suggested this video to my friends also thank u,p
"Guys, please wish me luck. I am a beginner and completely new to programming especially C++. Best of luck to you guys learning as well.",o
I'm paying so much money for a professor who can't and doesn't even teach! SO THANKFUL I FOUND THIS! My last hw assignment got me a C (randomly just typing things) and after watching this I got an A! So simple and easy to understand. I was able to take down notes and able to RUN a project! THANK YOU SOOOO MUCH!,p
"I worked as a computer scientist in the physics field for years using a mixed language parallel programming technique (C & Fortran & MPI) to get the best of both world and I do confess it works fairly well.
Currently retired, I go on and besides this I want to explore new programming techniques I had few or no time to learn when I was active due to too close milestones.
Learning C++ from scratch from bulky books is not that easy so I tried numerous tutorials. Some of them were good some not. Eventually, I found the best ever : yours.
It fulfills all my expectations. 
Explanations are crystal clear and, moreover, they highlight the philosophy of C++. 
You deserve to become a professor if it is not the case yet. 
Thank you very much.",p
Thankyouu so very much for this amazing and the best tutorial 🙏🏻💜,p
"Well I wasn't sure if I'd ever get into programming with school, even though that was my dream, but you made things so easy to understand and now I definitely wanna continue pursuing this!",p
"Thanks man, best explaining on basic concepts. Keep up the good work.",p
im starting this tutorial. but i couldnt find this 16.01 version cuz its 2021 so the version is older so it has 20 version so i downloaded it. can you tell me which version (the new ones) are suitable and ideal so that i can start from the very scratch,q
"Me when the video ends:
 cout<<""Hello World""
my lil brother: WOOOOOOOOOOOW",o
"Thank you so much!!!!, I have a final twm and this made it clear :D!!!!",p
"Hey everyone! Thanks for watching my course

Follow me on twitter at https://twitter.com/mike_dane",o
I am here because the following week my c++ class will start.  I hope to understand everything you explain in this video. Thank you so much.,p
Such a nice teacher.respect u sir.pls keep on  doing these,p
You are a great teacher! Especially for someone like me that already has a minimal understanding of coding. You explain things very well without spending too much time on any one thing. I've learned more from you than I did with courses I paid for!!,p
"You're amazing. I'm 14 and I just love programming so much, but it was hard to find where to learn.",p
"Thank you very much sir, this made my preparation interview very easy....",p
"I'm not beginner, but this video was a good revision",p
Bookmarking this for later. I learned a bit of python a few years back with the intent of funding a career. Now Im looking into C++ with the intent of a hobby to deal with the stress of working in the medical field,o
"I really liked the way you explained the , Classes & Objects and Inheritance. Kudos to you I now have a better understanding of these concepts.",p
Feels like every single time I came up with a question in my head you answered it within the next couple minutes lol brilliant course man,p
thank you so much bro... your teaching levels well good... these classes used for me... im able to learn easily..,p
"Thanks!
This is my first step towards becoming a competent coder.... inshallah I'll become one someday",p
